,room,event_day,event_hour,detec1,detec2,occupancy,building,estim_nb_ocpnts
106,3,9,11,36.54545454545455,36.45454545454545,0.5,school of computer science,45.0
107,3,9,12,47.5,47.5,0.5,school of computer science,45.0
108,3,9,13,28.0,27.818181818181817,0.25,school of computer science,22.5
109,3,9,14,33.916666666666664,33.833333333333336,0.25,school of computer science,22.5
110,3,9,15,27.166666666666668,27.083333333333332,0.25,school of computer science,22.5
111,3,9,16,12.5,12.5,0.25,school of computer science,22.5
112,3,10,9,2.727272727272727,2.727272727272727,0.0,school of computer science,0.0
113,3,10,10,12.916666666666666,12.916666666666666,0.0,school of computer science,0.0
114,3,10,11,57.083333333333336,56.666666666666664,0.5,school of computer science,45.0
115,3,10,12,27.0,26.727272727272727,0.5,school of computer science,45.0
116,3,10,13,9.727272727272727,9.545454545454545,0.25,school of computer science,22.5
117,3,10,14,24.545454545454547,24.181818181818183,0.25,school of computer science,22.5
118,3,10,15,15.916666666666666,15.833333333333334,0.25,school of computer science,22.5
119,3,10,16,4.25,4.25,0.0,school of computer science,0.0
120,3,11,9,1.5454545454545454,1.5454545454545454,0.0,school of computer science,0.0
121,3,11,10,7.666666666666667,7.666666666666667,0.0,school of computer science,0.0
122,3,11,11,18.272727272727273,18.272727272727273,0.75,school of computer science,67.5
123,3,11,12,81.5,81.41666666666667,0.75,school of computer science,67.5
124,3,11,13,88.6,87.9,0.75,school of computer science,67.5
125,3,11,14,41.166666666666664,40.916666666666664,0.5,school of computer science,45.0
126,3,11,15,4.416666666666667,4.416666666666667,0.25,school of computer science,22.5
127,3,11,16,19.0,18.916666666666668,0.5,school of computer science,45.0
128,3,12,9,6.363636363636363,6.2727272727272725,0.0,school of computer science,0.0
129,3,12,10,5.166666666666667,5.166666666666667,0.0,school of computer science,0.0
130,3,12,11,7.833333333333333,7.833333333333333,0.25,school of computer science,22.5
131,3,12,12,65.36363636363636,65.18181818181819,0.25,school of computer science,22.5
132,3,12,13,25.083333333333332,24.583333333333332,0.0,school of computer science,0.0
133,3,12,14,19.333333333333332,19.333333333333332,0.25,school of computer science,22.5
